ปีการศึกษา,ชื่อโรงเรียน,อำเภอที่ตั้งรร.,ขนาดโรงเรียน,ที่ตั้งโรงเรียน,สังกัด,เขตพื้นที่ฯ,จำนวนผู้เข้าสอบ,ว 1.1 (Mean),ว 1.1 (S.D.),ว 1.2 (Mean),ว 1.2 (S.D.),ว 1.3 (Mean),ว 1.3 (S.D.),ว 2.1 (Mean),ว 2.1 (S.D.),ว 2.2 (Mean),ว 2.2 (S.D.),ว 2.3 (Mean),ว 2.3 (S.D.),ว 3.1 (Mean),ว 3.1 (S.D.),ว 3.2 (Mean),ว 3.2 (S.D.),ว 4.2 (Mean),ว 4.2 (S.D.)
2565,บ้านเมืองอาง,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,4,50.00,50.00,31.25,27.24,0.00,0.00,21.88,18.49,50.00,16.67,0.00,0.00,25.00,25.00,41.67,27.64,25.00,25.00
2565,บ้านแม่ปอน,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,10,30.00,45.83,35.00,30.00,50.00,50.00,48.75,13.05,43.33,33.50,45.00,35.00,60.00,20.00,36.67,23.33,30.00,33.17
2565,บ้านแม่สอย,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,12,8.33,27.64,41.67,34.36,25.00,43.30,70.83,16.40,22.22,31.43,45.83,43.10,54.17,24.65,58.33,33.68,29.17,32.00
2565,บ้านโรงวัว,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,11,0.00,0.00,25.00,28.20,18.18,38.57,54.55,23.40,24.24,20.55,40.91,28.75,40.91,28.75,45.45,25.71,27.27,24.90
2565,บ้านสบเตี๊ยะ,จอมทอง,กลาง,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,7,28.57,45.18,28.57,24.74,14.29,34.99,35.71,31.64,9.52,15.06,28.57,36.42,28.57,36.42,38.10,21.30,21.43,24.74
2565,บ้านสบแปะ,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,9,11.11,31.43,36.11,33.56,44.44,49.69,34.72,24.85,18.52,27.72,38.89,31.43,38.89,20.79,48.15,44.75,5.56,15.71
2565,บ้านหนองคัน,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,4,25.00,43.30,43.75,27.24,0.00,0.00,59.38,16.24,16.67,28.87,25.00,43.30,50.00,35.36,41.67,14.43,37.50,21.65
2565,บ้านห้วยทราย,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,3,33.33,47.14,50.00,40.82,66.67,47.14,58.33,21.25,11.11,15.71,33.33,23.57,33.33,23.57,77.78,15.71,50.00,40.82
2565,บ้านห้วยน้ำดิบ,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,6,33.33,47.14,20.83,22.44,16.67,37.27,43.75,20.09,22.22,24.85,33.33,37.27,25.00,38.19,33.33,27.22,41.67,34.36
2565,บ้านห้วยม่วง,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,7,57.14,49.49,32.14,34.63,71.43,45.18,51.79,29.45,33.33,25.20,42.86,31.94,50.00,37.80,47.62,24.28,50.00,26.73
